title,keywords,journal,authors,abstract
"species composition and community structure of small pest rodents (muridae) in cultivated and fallow fields in maize-growing areas in mayuge district, eastern uganda",community structure; composition; cultivated fields; fallow land; richness; rodents; species diversity,ECOLOGY AND EVOLUTION,MAYAMBA A;BYAMUNGU RM;MAKUNDI RH;KIMARO DN;ISABIRYE M;MASSAWE AW;KIFUMBA D;NAKIYEMBA A;LEIRS H;MDANGI ME;ISABIRYE BE;MULUNGU LS,"pest rodents remain key biotic constraints to cereal crops production in the east african region where they occur, especially in seasons of outbreaks. despite that, uganda has scant information on rodents as crop pests to guide effective management strategies. a capture-mark-recapture (cmr) technique was employed to study the ecology of small rodents, specifically to establish the species composition and community structure in a maize-based agro ecosystem. trapping of small rodents was conducted in permanent fallow land and cultivated fields, with each category replicated twice making four study grids. at each field, a 60 x 60 m grid was measured and marked with permanent trapping points spaced at 10 x 10 m, making a total of 49 trapping points/grids. trapping was conducted monthly at 4-week interval for three consecutive days for two and half years using sherman live traps. eleven identified small rodent species and one insectivorous small mammal were recorded with mastomys natalensis being the most dominant species (over 60.7%). other species were mus triton (16.1%), aethomys hendei (6.7%), lemniscomys zebra (5.2%), lophuromys sikapusi (4.8%), arvicanthis niloticus (0.9%), gerbilliscus kempi (0.1%), graphiurus murinus (0.1%), steatomys parvus (0.1%), dasymys incomtus (0.1%), and grammomys dolichurus (0.1%). spatially, species richness differed significantly (p = 0.0001) between the studied field habitats with significantly higher richness in fallow land compared with cultivated fields. temporally, total species richness and abundance showed a significant interaction effect over the months, years, and fields of trapping with significantly (p = 0.001) higher abundances during months of wet seasons and in the first and third year of trapping. in terms of community structure, higher species diversity associated more with fallow field habitats but also with certain rare species found only in cultivated fields. synthesis and applications. based on these findings, management strategies can be designed to target the key pest species and the most vulnerable habitats thus reducing the impact they can inflict on field crops."
"estimating abundances, densities, and interspecific associations in a carnivore community",abundance estimation; activity center; bayesian statistics; community structure; density estimation; dingo; feral cat; red fox; spatial pair correlation function; spatially explicit mark-resight models,JOURNAL OF WILDLIFE MANAGEMENT,FORSYTH DM;RAMSEY DSL;WOODFORD LP,"estimating population abundances, densities, and interspecific interactions are common goals in wildlife management. camera traps have been used to estimate the abundance and density of a single species, and are useful for carnivores that occur at low densities. spatial capture-recapture (scr) models can be used to estimate abundance and density from a camera trap array when all, some, or no individuals in the population can be uniquely identified. these scr models also estimate locations of individual activity centers, the spatial patterning of which could provide important information about interspecific interactions. we used scr models to estimate abundances, densities, and activity centers of each of 3 carnivore species (i.e., dingo [canis familiaris], red fox [vulpes vulpes], and feral cat) using photographs from 1 camera trap array in southeastern australia during september to november 2015. some dingoes and feral cats were uniquely identifiable and therefore, we used a spatial mark-resight model for these species. we could not uniquely identify fox individuals, however, so we used a spatial unmarked (sun) model for this species. our estimated dingo density was 0.06/km(2). the fox (0.25/km(2)) and feral cat (0.16/km(2)) densities are within the ranges previously reported for these species in australia. we obtained a relatively imprecise fox density estimate because we did not have detections of uniquely identifiable individuals; hence, the sun model should be used as a last resort. we next modeled spatial dependence among the estimated activity centers for the 3 species using a spatial pair correlation function for a marked point process. consistent with our expectations, the activity centers of dingoes and foxes were strongly negatively associated at distances of <1,000 m. foxes and feral cats were also negatively associated at distances of <1,500 m. surprisingly, dingoes and feral cats were positively associated at distances of >500 m, with no association evident at distances of <500 m. our study extends the inferences that can be made from using a camera trap array and scr methods to include spatial patterning and interspecific interactions, and provides new insights into the carnivore community of dingoes, foxes, and feral cats in southeastern australia. (c) 2019 the authors. the journal of wildlife management published by wiley periodicals, inc."
demography of a high-density tiger population and its implications for tiger recovery,breeding tigresses; corbett national park; population dynamics; pva; recruitment; source population; survival; terai arc,JOURNAL OF APPLIED ECOLOGY,BISHT S;BANERJEE S;QURESHI Q;JHALA Y,"prioritizing conservation of source populations within landscapes is proposed as a strategy for recovering tigers globally. we studied population dynamics of tigers in corbett national park (cnp) in indian terai, which harbours the largest and highest density tiger population in any protected area of the world. through population viability models, we demonstrate the importance of cnp in tiger recovery within western terai. we camera trapped 521 km(2) of cnp using open population capture-mark-recapture framework between 2010 and 2015 to estimate annual abundance, spatially explicit density, survival, recruitment, temporary movements, sex ratio and proportion of females breeding. we model metapopulation persistence with and without corbett as a source within western terai landscape at different levels of poaching and habitat connectivity. in 6 years, we recorded 6,202 photo-captures of 307 individual tigers. annual tiger abundance and density were stable at 120 (se 19) and 14 (se 3) per 100 km(2) respectively. detection probability of tigers was 0.18 (se 0.03) and detection-corrected male:female sex ratio was female biased (0.80 se 0.13). apparent annual survival probability was 0.79 (se 0.05) for females and 0.60 (se 0.04) for males. survival of tigers in cnp (0.68 se 0.12) was lower than that reported for other populations. cnp tigers showed high reproduction with 54.8 (se 5.1)% females breeding and with addition of 35 (se 8)% as new recruits to the population each year. small tiger populations in western terai with moderate poaching could only persist through dispersal from cnp. synthesis and applications. corbett tiger population was characterized by a stable high density, high reproductive rate and low survival, resulting in high turnover rates (32%-48%) between successive years. such source populations could sustain low-level poaching and with habitat connectivity, recover tiger populations across the landscape. this study establishes potential thresholds that can likely be achieved by tiger populations under optimal natural conditions and highlights the importance of prioritizing conservation of source populations within tiger landscapes. this information can be used to plan and implement realistic tiger recovery programmes globally."
reserve size and anthropogenic disturbance affect the density of an african leopard (panthera pardus) meta-population,NA,PLOS ONE,HAVMOLLER RW;TENAN S;SCHARFF N;ROVERO F,"determining correlates of density for large carnivores is important to understand their ecological requirements and develop conservation strategies. of several earlier density studies conducted globally, relatively few addressed a scale (usually >1000 km(2)) that allows inference on correlates of density over heterogeneous landscapes. we deployed 164 camera trap stations covering similar to 2500 km(2) across five areas characterized by broadly different vegetation cover in the udzungwa mountains, tanzania, to investigate correlates of density for a widespread and adaptable carnivore, the leopard (panthera pardus). we modelled data in a spatially explicit capture-recapture framework, with both biotic and abiotic covariates hypothesised to influence density. we found that leopard density increased with distance to protected area boundary (mean +/- se estimated effect = 0.44 +/- 0.20), a proxy for both protected area extent and distance from surrounding human settlements. we estimated mean density at 4.22 leopards/100 km(2) (85% ci = 3.33-5.35/100 km(2)), with no variation across habitat types. results indicate that protected area extent and anthropogenic disturbance limit leopard populations whereas no support was found for prey availability and trap array as drivers of leopard density. such vulnerability is relevant to the conservation of the leopard, which is generally considered more resilient to human disturbance than other large cats. our findings support the notion that protected areas are important to preserve viable population of leopards, increasingly so in times of unprecedented habitat fragmentation. protection of buffer zones smoothing the abrupt impact of human activities at reserve edges also appears of critical conservation relevance."
integrated population models: powerful methods to embed individual processes in population dynamics models,data integration for population models special feature; density-dependence; eco-evolutionary feedback; heterogeneity; individual quality; integral projection model; integrated population model; population model; structured population,ECOLOGY,PLARD F;FAY R;KERY M;COHAS A;SCHAUB M,"population dynamics models have long assumed that populations are composed of a restricted number of groups, where individuals in each group have identical demographic rates and where all groups are similarly affected by density-dependent and -independent effects. however, individuals usually vary tremendously in performance and in their sensitivity to environmental conditions or resource limitation, such that individual contributions to population growth will be highly variable. recent efforts to integrate individual processes in population models open up new opportunities for the study of eco-evolutionary processes, such as the density-dependent influence of environmental conditions on the evolution of morphological, behavioral, and life-history traits. we review recent advances that demonstrate how including individual mechanisms in models of population dynamics contributes to a better understanding of the drivers of population dynamics within the framework of integrated population models (ipms). ipms allow for the integration in a single inferential framework of different data types as well as variable population structure including sex, social group, or territory, all of which can be formulated to include individual-level processes. through a series of examples, we first show how ipms can be beneficial for getting more accurate estimates of demographic traits than classic matrix population models by including basic population structure and their influence on population dynamics. second, the integration of individual- and population-level data allows estimating density-dependent effects along with their inherent uncertainty by directly using the population structure and size to feedback on demography. third, we show how ipms can be used to study the influence of the dynamics of continuous individual traits and individual quality on population dynamics. we conclude by discussing the benefits and limitations of ipms for integrating data at different spatial, temporal, and organismal levels to build more mechanistic models of population dynamics."
"accounting for heterogeneity when estimating stopover duration, timing and population size of red knots along the luannan coast of bohai bay, china",heterogeneity; jolly-seber; mark-recapture; migration; population size; red knot; state-space model; stopover duration,ECOLOGY AND EVOLUTION,LOK T;HASSELL CJ;PIERSMA T;PRADEL R;GIMENEZ O,"to successfully perform their long-distance migrations, migratory birds require sites along their migratory routes to rest and refuel. monitoring the use of so-called stopover and staging sites provides insights into (a) the timing of migration and (b) the importance of a site for migratory bird populations. a recently developed bayesian superpopulation model that integrates mark-recapture data and ring density data enabled the estimation of stopover timing, duration, and population size. yet, this model did not account for heterogeneity in encounter (p) and staying (phi) probabilities. here we extended the integrated superpopulation model by implementing finite mixtures to account for heterogeneity in p and phi. we used simulations and real data (from 2009-2016) on red knots calidris canutus, mostly of the subspecies piersmai, staging in bohai bay, china, during spring migration to (a) show the importance of accounting for heterogeneity in encounter and staying probabilities to get unbiased estimates of stopover timing, duration, and numbers of migratory birds at staging sites and (b) get accurate stopover parameter estimates for a migratory bird species at a key staging site that is threatened by habitat destruction. our simulations confirmed that heterogeneity in p affected stopover parameter estimates more than heterogeneity in phi, especially when most birds had low p. bias was particularly severe when most birds had both low phi and p. bias was largest for population size, intermediate for stopover duration and negligible for stopover timing. a total of 50,000-100,000 red knots were estimated to annually stop for 5-9 days in bohai bay between 10 and 30 may. this shows the key importance of this staging site for this declining species. there were no clear changes in stopover parameters over time, although stopover population size was substantially lower in 2016 than in preceding years. our study shows the importance of accounting for heterogeneity in both encounter and staying probabilities for accurately estimating stopover duration and population size and provides an appropriate modeling framework."
acoustic telemetry as a potential tool for mixed-stock analysis of fishery harvest: a feasibility study using lake erie walleye,NA,CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES,FAUST MD;VANDERGOOT CS;BRENDEN TO;KRAUS RT;HARTMAN T;KRUEGER CC,"understanding stock composition is critical for sustainable management of mixed-stock fisheries. when natural markers routinely used for stock discrimination fail, alternative techniques are required. we investigated the feasibility of using acoustic telemetry to estimate spawning population contributions to a mixed-stock fishery using lake erie's summer walleye (sander vitreus) recreational fishery as a case study. postrelease survival was estimated after tagging and used to inform simulations to evaluate how contribution estimates could be affected by survival, sample size, and expected population contributions. walleye experienced low short-term survival after tagging, but showed higher survival after 100 days, likely allowing fish to return to spawning areas the following spring. based on simulations, accuracy and precision of population composition increased with an increase in the number of tagged fish released, and both appeared to stabilize when >= 200 tagged fish were released. results supported the feasibility of using acoustic telemetry to estimate spawning population contributions to mixed-stock fisheries in lake erie."
the challenges of recognising individuals with few distinguishing features: identifying red foxes vulpes vulpes from camera-trap photos,NA,PLOS ONE,DORNING J;HARRIS S,"over the last two decades, camera traps have revolutionised the ability of biologists to undertake faunal surveys and estimate population densities, although identifying individuals of species with subtle markings remains challenging. we conducted a two-year camera-trapping study as part of a long-term study of urban foxes: our objectives were to determine whether red foxes could be identified individually from camera-trap photos, and highlight camera-trapping protocols and techniques to facilitate photo identification of species with few or subtle natural markings. we collected circa 800,000 camera-trap photos over 4945 camera days in suburban gardens in the city of bristol, uk: 152,134 (19%) included foxes, of which 13,888 (9%) contained more than one fox. these provided 174,063 timestamped capture records of individual foxes; 170,923 were of foxes >= 3 months old. younger foxes were excluded because they have few distinguishing features. we identified the individual (192 different foxes: 110 males, 49 females, 33 of unknown sex) in 168,417 (99%) of these capture records; the remainder could not be identified due to poor image quality or because key identifying feature(s) were not visible. we show that carefully designed survey techniques facilitate individual identification of subtly-marked species. accuracy is enhanced by camera-trapping techniques that yield large numbers of high resolution, colour images from multiple angles taken under varying environmental conditions. while identifying foxes manually was labour-intensive, currently available automated identification systems are unlikely to achieve the same levels of accuracy, especially since different features were used to identify each fox, the features were often inconspicuous, and their appearance varied with environmental conditions. we discuss how studies based on low numbers of photos, or which fail to identify the individual in a significant proportion of photos, risk losing important biological information, and may come to erroneous conclusions."
alzheimer's disease: estimating its prevalence rate in a french geographical unit using the national alzheimer data bank and national health insurance information systems,NA,PLOS ONE,BAILLY L;DAVID R;CHEVRIER R;GREBET J;MONCADA M;FUCH A;SCIORTINO V;ROBERT P;PRADIER C,"background reliable epidemiological data on alzheimer's disease are scarce. however, these are necessary to adapt healthcare policy in terms of prevention, care and social needs related to this condition. to estimate the prevalence rate in the alpes-maritimes on the french riviera, with a population of one million, we present a capture-recapture procedure applied to cases of alzheimer's disease, based on two epidemiological surveillance systems. methods to estimate the total number of patients affected by alzheimer's disease, a capture-recapture study included a cohort of patients with alzheimer's disease or receiving medications only eligible for use for this condition, recorded by a specific health insurance information system (health insurance cohort, hic), and those registered in the french national alzheimer's data bank (""banque nationale alzheimer"", bna) in 2010 and 2011. we applied bayesian estimation of the mt ecological model, taking into account age and gender as covariates, i.e. factors of inhomogeneous catchability. results overall, 5,562 patients with alzheimer's disease were recorded, of whom only 856 were common to both information systems. mean age and f/m sex ratio differed between bna and hic surveillance systems, 81 vs 84 years and 2.7 vs 3.2, respectively. a bayesian estimation, with age and gender as covariates, yields an estimate of 15,060 cases of alzheimer's disease [95%hpdi: 14,490-15,630] in the alpes-maritimes. the completeness of the hic and bna databases were respectively of 25.4% and 17.2%. the estimated prevalence rate among the population over 65 years old was 6.3% in 2010-2011. conclusions this study demonstrates that it is possible to determine the number of subjects affected by alzheimer's disease in a geographical unit, using available data from two existing surveillance systems in france, i.e. 15,060 cases in the alpes-maritimes. this is the first stage of a population-based approach in view of adapting available resources to the population's needs."
evaluating european life conservation projects: improvements in survival of an endangered vulture,capture-recapture; conservation programme success; egyptian vulture; environmental education; long-term monitoring; mortality; poisoning; ring loss,JOURNAL OF APPLIED ECOLOGY,BADIA BOHER JA;SANZ AGUILAR A;DE LA RIVA M;GANGOSO L;VAN OVERVELD T;GARCIA ALFONSO M;LUZARDO OP;SUAREZ PEREZ A;DONAZAR JA,"long-lived avian scavengers are threatened worldwide and thus, are common targets of conservation plans. however, scientific evidence of both the factors limiting populations and effectiveness of management actions are greatly needed in order to develop more efficient and successful conservation strategies. we assessed the effectiveness of conservation actions applied within a life-nature project aimed at improving the long-term survival of the critically endangered canarian egyptian vulture: including education campaigns for public awareness and control of illegal poisoning and the modification of power lines to reduce the risk of accidents. we formulated a multievent capture-mark-recapture model to obtain estimates of survival for juvenile, subadult and adult birds accounting for probabilities of resight, recovery and losses of metal and colour rings. models supported a substantial enhancement in survival for subadult and adult birds and a moderate improvement for juveniles after the implementation of life actions. ring loss probabilities became notably high in the middle to long term. poisoning events became very rare after life was implemented, suggesting a positive effect of environmental education and awareness campaigns. entanglements and collisions in power lines were also efficiently mitigated. instead, electrocutions became the most identified cause of death in the post-life stage. synthesis and applications. our results highlight the improvement of survival in a threatened island vulture population after the implementation of a european life conservation project. on small islands, with small human populations and few stakeholders, education and awareness campaigns can be especially effective for biodiversity conservation. we also demonstrate the need to complement conservation programmes with long-term monitoring, which is essential to evaluate the effectiveness of actions, especially for long-lived species. foreign language abstract resumen las aves carroneras de larga vida estan amenazadas a nivel mundial y por ello son objeto de numerosos planes de conservacion. sin embargo, para mejorar la eficiencia y el exito de los planes de conservacion, se requieren mas estudios cientificos que evaluen los factores que limitan sus poblaciones y la efectividad de las diferentes estrategias de conservacion. hemos evaluado la eficacia de las acciones de conservacion llevadas a cabo dentro del marco de un proyecto life para mejorar la supervivencia a largo plazo del alimoche canario, una subespecie en peligro critico de extincion: campanas de sensibilizacion y divulgacion para reducir el uso de venenos y modificacion de tendidos electricos para reducir el riesgo de accidentes. para ello, hemos desarrollado un modelo multievento de captura-recaptura que permite estimar la supervivencia de juveniles, subadultos y adultos teniendo en cuenta las probabilidades de observacion, recuperacion de cadaveres y perdida de anillas de metal y pvc. los modelos mostraron un considerable aumento de la supervivencia de subadultos y adultos, junto con un ligero aumento de la supervivencia de juveniles, tras la implementacion de las acciones del proyecto life. la probabilidad de perdida de anillas fue alta a medio-largo plazo. tras la implementacion del programa life las muertes por envenenamiento pasaron a ser escasas, lo que sugiere un efecto positivo de las campanas de sensibilizacion y divulgacion. las colisiones y los enganches en tendidos electricos tambien fueron mitigados de forma efectiva. por el contrario, las muertes por electrocucion no cesaron, convirtiendose asi en la principal causa de mortalidad detectada.sintesis y aplicaciones. nuestros resultados destacan el aumento de supervivencia en una especie amenazada - una poblacion insular de alimoche - tras la implementacion de un proyecto life europeo. en islas pequenas, con poca poblacion humana y un numero reducido de agentes sociales, las campanas de sensibilizacion y divulgacion pueden resultar especialmente efectivas para garantizar la conservacion de la biodiversidad. es necesario complementar los programas de conservacion con seguimientos a largo plazo para evaluar la efectividad de sus acciones, especialmente en el caso de especies de larga vida. our results highlight the improvement of survival in a threatened island vulture population after the implementation of a european life conservation project. on small islands, with small human populations and few stakeholders, education and awareness campaigns can be especially effective for biodiversity conservation. we also demonstrate the need to complement conservation programmes with long-term monitoring, which is essential to evaluate the effectiveness of actions, especially for long-lived species."
