origin;tags;title;keywords;journal;authors;abstract
methods;IPM, heterogeneity, estimation, assumptions;integrated population models: model assumptions and inference;"bayesian; heterogeneity; integrated population models; model assumption violation; parameter estimation";METHODS IN ECOLOGY AND EVOLUTION;"RIECKE TV;WILLIAMS PJ;BEHNKE TL;GIBSON D;LEACH AG;SEDINGER BS;STREET PA;SEDINGER JS";integrated population models (ipms) have become increasingly popular for the modelling of populations, as investigators seek to combine survey and demographic data to understand processes governing population dynamics. these models are particularly useful for identifying and exploring knowledge gaps within life histories, because they allow investigators to estimate biologically meaningful parameters, such as immigration or reproduction, that were previously unidentifiable without additional data. as ipms have been developed relatively recently, there is much to learn about model behaviour. behaviour of parameters, such as estimates near boundaries, and the consequences of varying degrees of dependency among datasets, has been explored. however, the reliability of parameter estimates remains underexamined, particularly when models include parameters that are not identifiable from one data source, but are indirectly identifiable from multiple datasets and a presumed model structure, such as the estimation of immigration using capture-recapture, fecundity and count data, combined with a life-history model. to examine the behaviour of model parameter estimates, we simulated stable populations closed to immigration and emigration. we simulated two scenarios that might induce error into survival estimates: marker induced bias in the capture-mark-recapture data and heterogeneity in the mortality process. we subsequently fit capture-mark-recapture, state-space and fecundity models, as well as ipms that estimated additional parameters. simulation results suggested that when model assumptions are violated, estimation of additional, previously unidentifiable, parameters using ipms may be extremely sensitive to these violations of model assumption. for example, when annual marker loss was simulated, estimates of survival rates were low and estimates of immigration rate from an ipm were high. when heterogeneity in the mortality process was induced, there were substantial relative differences between the medians of posterior distributions and truth for juvenile survival and fecundity. our results have important implications for biological inference when using ipms, as well as future model development and implementation. specifically, using multiple datasets to identify additional parameters resulted in the posterior distributions of additional parameters directly reflecting the effects of the violations of model assumptions in integrated modelling frameworks. we suggest that investigators interpret posterior distributions of these parameters as a combination of biological process and systematic error.
methods;Behavior, internesting period;overcoming field monitoring restraints in estimating marine turtle internesting period by modelling individual nesting behaviour using capture-mark-recapture data;"chelonia mydas; lepidochelys olivacea; internesting period; iteroparity; nesting abortion; eastern atlantic";ECOLOGICAL MODELLING;"HANCOCK J;VIEIRA S;LIMA H;SCHMITT V;PEREIRA J;REBELO R;GIRONDOT M";"marine turtles are intra-seasonal iteroparous animals; they nest from one to up to 14 times during the nesting season, laying up to 180 eggs each time. their annual reproductive effort can therefore be estimated from clutch size, nesting frequency, and length of the nesting season. moreover, the estimation of nesting frequency, usually obtained from the internesting period (i.e., the time in days between two nesting events) is essential for assessing the number of females in a population. however, the intemesting period is strongly influenced by variation in individual behaviour of the nesting female, including abortion of nesting attempts. it is also affected by imprecise detection of females during beach monitoring, often related with a lack of fidelity to the nesting beach. using an individual-focused model based on capture-mark-recapture data we were able to statistically characterize the nesting behaviour of the populations of green turtles (chelonia mydas) and olive ridley turtles (lepidochelys olivacea) in sao tome and principe (eastern atlantic). the developed model proposes a novel approach in estimating the internesting period, by including the different factors that lead to the heterogeneity observed in the duration of intemesting periods across a single season, corrected for the probability of a female aborting a nesting process. the calculated lengths of the intemesting periods for the two species are congruent with previous estimates, validating the model. furthermore, the inference of the rank of a nest for an individual female is predicted by the model with high accuracy, even when the recapture rate is low and the time between observations is long. a limitation of the model is its inability to estimate the true clutch frequency at the scale of the population but it was not its purpose."
methods;Mortality cause, recovery, opportunistic, SSM, data combination;jointly estimating survival and mortality: integrating recapture and recovery data from complex multiple predator systems;"capture-recapture-recovery; hierarchical bayesian; population dynamics; state-space models";ENVIRONMENTAL AND ECOLOGICAL STATISTICS;"PAYTON Q;HOSTETTER NJ;EVANS AF";identifying where, when, and how many animals live and die over time is principal to understanding factors that influence population dynamics. capture-recapture-recovery (crr) models are widely used to estimate animal survival and, in many cases, quantify specific causes of mortality (e.g., harvest, predation, starvation). however, the restrictive crr framework can inhibit the consideration and inclusion of some types of recovery data. we developed an extension to the crr framework to allow for the incorporation of recoveries from indeterminate temporal or spatial origin. this model jointly estimates cause-specific mortality and survival probabilities across multiple spatial and temporal scales, while accounting for differences in mortality-specific reporting and recovery rates. we fitted the model to data on a group of juvenile steelhead trout (oncorhynchus mykiss) marked with passive integrated transponder tags in the columbia river basin, usa. following tagging and release, fish were detected alive at up to six downstream locations and/or recovered dead on one of nine bird colonies during seaward migration. we estimated that, in aggregate, avian predators consumed 31% of juvenile steelhead during outmigration to the ocean (95% cri: [27, 36]). colony-specific predation rates ranged from<1 to 14% among river reaches, with avian predation accounting for>95% of all steelhead mortality within some reaches. this integrated modelling approach provides a flexible framework to integrate multiple recapture and recovery data sources, providing a more holistic understanding of animal life history, including direct comparisons of cause-specific mortality factors and the cumulative impact of multiple mortality factors across time or space.
methods;Drink-drinking, zero-truncated;the identity of the zero-truncated, one-inflated likelihood and the zero-one-truncated likelihood for general count densities with an application to drink-driving in britain;"capture-recapture; chao estimator; behavioral response; power series distribution; mixture model; zero-truncated model; nonparametric estimator of population size";ANNALS OF APPLIED STATISTICS;"BOHNING D;VAN DER HEIJDEN PGM";for zero-truncated count data, as they typically arise in capture-recapture modelling, we consider modelling under one-inflation. this is motivated by police data on drink-driving in britain which shows high one-inflation. the data, which are used here, are from the years 2011 to 2015 and are based on dr10 endorsements. we show that inference for an arbitrary count density with one-inflation can be equivalently based upon the associated zero-one truncated count density. this simplifies inference considerably including maximum likelihood estimation and likelihood ratio testing. for the drink-driving application, we use the geometric distribution which shows a good fit. we estimate the total drink-driving as about 2,300,000 drink-drivers in the observational period. as 227,578 were observed, this means that only about 10% of the drink-driving population is observed with a bootstrap confidence interval of 9%-12%.
methods;IPM, estimation;efficient sequential monte carlo algorithms for integrated population models;"bayesian inference; capture-recapture; integrated population models; model comparison; sequential monte carlo; state-space models";JOURNAL OF AGRICULTURAL BIOLOGICAL AND ENVIRONMENTAL STATISTICS;"FINKE A;KING R;BESKOS A;DELLAPORTAS P";in statistical ecology, state-space models are commonly used to represent the biological mechanisms by which population counts-often subdivided according to characteristics such as age group, gender or breeding status-evolve over time. as the counts are only noisily or partially observed, they are typically not sufficiently informative about demographic parameters of interest and must be combined with additional ecological observations within an integrated data analysis. fitting integrated models can be challenging, especially if the constituent state-space model is nonlinear/non-gaussian. we first propose an efficient particle markov chain monte carlo algorithm to estimate demographic parameters without a need for linear or gaussian approximations. we then incorporate this algorithm into a sequential monte carlo sampler to perform model comparison. we also exploit the integrated model structure to enhance the efficiency of both algorithms. the methods are demonstrated on two real data sets: little owls and grey herons. for the owls, we find that the data do not support an ecological hypothesis found in the literature. for the herons, our methodology highlights the limitations of existing models which we address through a novel regime-switching model. supplementary materials accompanying this paper appear online.
methods;Social network, SSM, social species;inferring animal social networks with imperfect detection;"bayesian inference; capture-recapture; multistate models; social networks";ECOLOGICAL MODELLING;"GIMENEZ O;MANSILLA L;KLAICH MJ;COSCARELLA MA;PEDRAZA SN;CRESPO EA";social network analysis provides a powerful tool for understanding social organisation of animals. however, in free-ranging populations, it is almost impossible to monitor exhaustively the individuals of a population and to track their associations. ignoring the issue of imperfect and possibly heterogeneous individual detection can lead to substantial bias in standard network measures. here, we develop capture-recapture models to analyse network data while accounting for imperfect and heterogeneous detection. we carry out a simulation study to validate our approach. in addition, we show how the visualisation of networks and the calculation of standard metrics can account for detection probabilities. the method is illustrated with data from a population of commerson's dolphin (cephalorhynchus commersonii) in patagonia argentina. our approach provides a step towards a general statistical framework for the analysis of social networks of wild animal populations.
methods;SCR, closure, assumptions;population closure and the bias-precision trade-off in spatial capture-recapture;"mortality; population dynamics; recruitment; spatial capture-recapture; time-to-event modelling";METHODS IN ECOLOGY AND EVOLUTION;"DUPONT P;MILLERET C;GIMENEZ O;BISCHOF R";spatial capture-recapture (scr) is an increasingly popular method for estimating ecological parameters. scr often relies on data collected over relatively long sampling periods. while longer sampling periods can yield larger sample sizes and thus increase the precision of estimates, they also increase the risk of violating the closure assumption, thereby potentially introducing bias. the sampling period characteristics are therefore likely to play an important role in this bias-precision trade-off. yet few studies have studied this trade-off and none has done so for scr models. in this study, we explored the influence of the length and timing of the sampling period on the bias-precision trade-off of scr population size estimators. using a continuous time-to-event approach, we simulated populations with a wide range of life histories and sampling periods before quantifying the bias and precision of population size estimates returned by scr models. while longer sampling periods benefit the study of slow-living species (increased precision and lower bias), they lead to pronounced overestimation of population size for fast-living species. in addition, we show that both bias and uncertainty increase when the sampling period overlaps the reproductive season of the study species. based on our findings, we encourage investigators to carefully consider the life history of their study species when contemplating the length and the timing of the sampling period. we argue that both spatial and non-spatial capture-recapture studies can safely extend the sampling period to increase precision, as long as it is timed to avoid peak recruitment periods. the simulation framework we propose here can be used to guide decisions regarding the sampling period for a specific situation.
methods;clustered point process, camera traps, data combination, point process, camera trapping;cluster capture-recapture to account for identification uncertainty on aerial surveys of animal populations;"capture-recapture; neyman-scott process; palm intensity; spatial capture-recapture; thomas process; unmanned aerial vehicles";BIOMETRICS;"STEVENSON BC;BORCHERS DL;FEWSTER RM";"capture-recapture methods for estimating wildlife population sizes almost always require their users to identify every detected animal. many modern-day wildlife surveys detect animals without physical capturevisual detection by cameras is one such example. however, for every pair of detections, the surveyor faces a decision that is often fraught with uncertainty: are they linked to the same individual? an inability to resolve every such decision to a high degree of certainty prevents the use of standard capture-recapture methods, impeding the estimation of animal density. here, we develop an estimator for aerial surveys, on which two planes or unmanned vehicles (drones) fly a transect over the survey region, detecting individuals via high-definition cameras. identities remain unknown, so one cannot discern if two detections match to the same animal; however, detections in close proximity are more likely to match. by modeling detection locations as a clustered point process, we extend recently developed methodology and propose a precise and computationally efficient estimator of animal density that does not require individual identification. we illustrate the method with an aerial survey of porpoise, on which cameras detect individuals at the surface of the sea, and we need to take account of the fact that they are not always at the surface."
methods;abundance, multistate models;estimation of population size when capture probability depends on individual states;"abundance; closed population; individual heterogeneity; transition probabilities";JOURNAL OF AGRICULTURAL BIOLOGICAL AND ENVIRONMENTAL STATISTICS;"WORTHINGTON H;MCCREA RS;KING R;GRIFFITHS RA";we develop a multi-state model to estimate the size of a closed population from capture-recapture studies. we consider the case where capture-recapture data are not of a simple binary form, but where the state of an individual is also recorded upon every capture as a discrete variable. the proposed multi-state model can be regarded as a generalisation of the commonly applied set of closed population models to a multi-state form. the model allows for heterogeneity within the capture probabilities associated with each state while also permitting individuals to move between the different discrete states. a closed-form expression for the likelihood is presented in terms of a set of sufficient statistics. the link between existing models for capture heterogeneity is established, and simulation is used to show that the estimate of population size can be biased when movement between states is not accounted for. the proposed unconditional approach is also compared to a conditional approach to assess estimation bias. the model derived in this paper is motivated by a real ecological data set on great crested newts, triturus cristatus. supplementary materials accompanying this paper appear online.
methods;NA;the recent past and promising future for data integration methods to estimate species' distributions;"data fusion; integrated distribution model; joint likelihood; spatial point process; species distribution modelling";METHODS IN ECOLOGY AND EVOLUTION;"MILLER DAW;PACIFICI K;SANDERLIN JS;REICH BJ";with the advance of methods for estimating species distribution models has come an interest in how to best combine datasets to improve estimates of species distributions. this has spurred the development of data integration methods that simultaneously harness information from multiple datasets while dealing with the specific strengths and weaknesses of each dataset. we outline the general principles that have guided data integration methods and review recent developments in the field. we then outline key areas that allow for a more general framework for integrating data and provide suggestions for improving sampling design and validation for integrated models. key to recent advances has been using point-process thinking to combine estimators developed for different data types. extending this framework to new data types will further improve our inferences, as well as relaxing assumptions about how parameters are jointly estimated. these along with the better use of information regarding sampling effort and spatial autocorrelation will further improve our inferences. recent developments form a strong foundation for implementation of data integration models. wider adoption can improve our inferences about species distributions and the dynamic processes that lead to distributional shifts.
methods;Social species, citizen science data, stopover;caste-specific demography and phenology in bumblebees: modelling beewalk data;"citizen science; mixture models; phenology; population trends; productivity; stopover models";JOURNAL OF AGRICULTURAL BIOLOGICAL AND ENVIRONMENTAL STATISTICS;"MATECHOU E;FREEMAN SN;COMONT R";we present novel dynamic mixture models for the monitoring of bumblebee populations on an unprecedented geographical scale, motivated by the uk citizen science scheme beewalk. the models allow us for the first time to estimate bumblebee phenology and within-season productivity, defined as the number of individuals in each caste per colony in the population in that year, from citizen science data. all of these parameters are estimated separately for each caste, giving a means of considerable ecological detail in examining temporal changes in the complex life cycle of a social insect in the wild. due to the dynamic nature of the models, we are able to produce population trends for a number of uk bumblebee species using the available time-series. via an additional simulation exercise, we show the extent to which useful information will increase if the survey continues, and expands in scale, as expected. bumblebees are extraordinarily important components of the ecosystem, providing pollination services of vast economic impact and functioning as indicator species for changes in climate or land use. our results demonstrate the changes in both phenology and productivity between years and provide an invaluable tool for monitoring bumblebee populations, many of which are in decline, in the uk and around the world. supplementary materials accompanying this paper appear online.
methods;Robust design, BUGS, temporary emigration;parameterizing the robust design in the bugs language: lifetime carry-over effects of environmental conditions during growth on a long-lived bird;"bayesian; branta bernicla nigricans; breeding probability; capture-mark-recapture; carry-over effects; fitness; population dynamics; robust design";METHODS IN ECOLOGY AND EVOLUTION;"RIECKE TV;LEACH AG;GIBSON D;SEDINGER JS";since the initial development of the robust design, this capture-recapture model structure has been modified to estimate temporary emigration and expanded to include auxiliary information such as band recovery and live resight data using maximum likelihood approaches. these developments have allowed investigators to separately assess individual and group effects on true survival, site fidelity, and temporary emigration. additionally, recent advances in the bugs language have allowed researchers to develop increasingly complex, user-specified models in bayesian frameworks. the robust design has rarely been implemented in the bugs language, and previous attempts to parameterize the robust design in bugs exhibited strong bias in estimates of temporary emigration rates. given the limitations of current parameterizations of the robust design in bayesian frameworks, and our research objectives, we have developed a parameterization of the robust design in the bugs language that produces unbiased estimates of all model parameters. we use this novel model structure to examine lifetime carry-over effects of environmental conditions during early life on annual breeding probabilities of pacific black brent branta bernicla nigricans breeding on the yukon-kuskokwim river delta in western alaska. we found that individuals that were more structurally developed as goslings bred at increased rates as adults (beta = 0.14, f = 0.94), with no effect on adult survival (beta = 0.01, f = 0.62). additionally, we provide evidence for long-term declines in apparent survival of breeding adult females at the population level (beta = -0.01, f = 0.90). this novel model structure can be easily expanded (gibson et al., in press) and has important implications for population modelling at broad scales, where we apply it to a declining population of pacific black brent. given long-term declines in gosling growth on the yukon-kuskokwim delta, we predict future declines in population trajectories as a result of lifetime carry-over effects of environmental conditions during growth on adult fecundity and long-term declines in adult survival.
methods;Individual growth, heterogeneity;bayesian modeling of individual growth variability using back-calculation: application to pink cusk-eel (genypterus blacodes) off chile;"individual variability; von bertalanffy model; student-t distribution; pink cusk-eel; chile";ECOLOGICAL MODELLING;"CONTRERAS REYES JE;QUINTERO FOL;WIFF R";the von bertalanffy growth function (vbgf) with random effects has been widely used to estimate growth parameters incorporating individual variability of length-at-age. trajectories of individual growth can be inferred using either mark-recapture or back-calculation of length-at-age from growth marks in hard body parts such as otoliths. modem statistical methods evaluate individual variation usually from mark-recapture data, and the parameters describing this function are estimated using empirical bayes methods assuming gaussian error. in this paper, we combine recent studies in non-gaussian distributions and a bayesian approach to model growth variability using back-calculated data in harvested fish populations. we presumed that errors in the vbgf can be assumed as a student-t distribution, given the abundance of individuals with extreme length values. the proposed method was applied and compared to the standard methods using back-calculated length-at-age data for pink cusk-eel (genypterus blacodes) off chile. considering several information criteria, and comparing males and females, we have found that males grow significantly faster than females, and that length-at-age for both sexes exhibits extreme length observations. comparisons indicated that a student-t model with mixed effects describes best back-calculated data regarding pink cusk-eel. this framework merged the strengths of different approaches to estimate growth parameters in harvested fish populations, considering modeling of individual variability of length-at-age, bayesian inference, and distribution of errors from the student-t model.
methods;Recruitment, point process, spatial;estimating recruitment from capture-recapture data by modelling spatio-temporal variation in birth and age-specific survival rates;"birth-death process; camera trapping; individual-based models; spatial capture-recapture; spatial demography; spatio-temporal point process; white-tailed deer";METHODS IN ECOLOGY AND EVOLUTION;"CHANDLER RB;ENGEBRETSEN K;CHERRY MJ;GARRISON EP;MILLER KV";1. understanding the factors influencing recruitment in animal populations is an important objective of many research and conservation programmes. however, evaluating hypotheses is challenging because recruitment is the outcome of birth and survival processes that are difficult to directly observe. capture-recapture is the most general framework for estimating recruitment in the presence of observation error, but existing methods ignore the underlying birth and survival processes, as well as age effects and spatial variation in vital rates. 2. we present an individual-based, spatio-temporal model that can be fit to capture-recapture data to draw inferences on the birth and survival processes governing recruitment dynamics. the number, dates, and spatial distribution of births are modelled as outcomes of a point process, and survival is modelled using a failure time approach. survival parameters can be modelled as functions of individuals traits and time-varying, spatial covariates. continuous-and discrete-time formulations are possible. we demonstrate the model using 7 months of camera data collected on white-tailed deer odocoileus virginianus fawns in big cypress national preserve. spot patterns were used to individually identify 28 fawns, detected 1,454 times between december 1, 2015 and july 1, 2016. 3. a total of 37 (95% ci: 30-49) fawns were born, of which 16 (95% ci: 10-23) survived 180 days to the recruitment age. mean parturition date was february 14 (95% ci: february 6-february 22), much earlier than in more temperate parts of the species' range, but coinciding with the dry season in southern florida. we found little evidence that mortality rates decreased with age, but the estimate of the age effect was imprecise. in contrast, we found strong evidence that encounter rates were age-specific and increased rapidly over the first month of life as fawns became more mobile. 4. our case study demonstrates the potential of this new model for advancing knowledge of spatial population dynamics by providing insights into the birth and juvenile survival processes that influence recruitment. because the model can be applied to data from noninvasive survey methods such as camera trapping, it is possible to apply it at broad spatial scales to understand how environmental variables and predator communities influence recruitment.
methods;Species richness;joining the incompatible: exploiting purposive lists for the sample-based estimation of species richness;"difference estimator; probabilistic sampling; purposive survey; supporting list; simulation";ANNALS OF APPLIED STATISTICS;"CHIARUCCI A;DI BIASE RM;FATTORINI L;MARCHESELLI M;PISANI C";the lists of species obtained by purposive sampling by field ecologists can be used to improve the sample-based estimation of species richness. a new estimator is here proposed as a modification of the difference estimator in which the species inclusion probabilities are estimated by means of the species frequencies from incidence data. if the species list used to support the estimation is complete the estimator guesses the true richness without error. in the case of incomplete lists, the estimator provides values invariably greater than the number of species detected by the combination of sample-based and purposive surveys. an asymptotically conservative estimator of the mean squared error is also provided. a simulation study based on two artificial communities is carried out in order to check the obvious increase in accuracy and precision with respect to the widely applied estimators based on the sole sample information. finally, the proposed estimator is adopted to estimate species richness in the maremma regional park, italy.
